path,SMTInterpol,,Yices2,,Z3alpha,,cvc5,
,result,runtime,result,runtime,result,runtime,result,runtime
QF_NIA/20170427-VeryMax/ITS/From_T2__s1.t2__p19701_safety_0.smt2,0,0.48796649498399347,1,0.4427392960060388,1,1.461207402870059,1,0.8837133708875626
QF_NIA/20170427-VeryMax/ITS/From_T2__pentagon.t2__p7193_edge_closing_0.smt2,0,0.7610184130026028,0,1201.256127210101,0,1201.7152188080363,0,1201.7301974620204
QF_NIA/20170427-VeryMax/ITS/From_T2__s1-striped.t2__p12977_safety_0.smt2,0,0.9527496820082888,1,0.6035822511184961,1,5.779606306925416,1,566.8522121871356
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__CyclicalListDuplicate.jar-obl-9__p28415_terminationG_0.smt2,0,0.7982193359639496,0,1201.2417538249865,0,1201.7164282980375,0,1201.7161714271642
QF_NIA/20170427-VeryMax/ITS/From_T2__fun9.t2__p1418_edge_closing_0.smt2,0,0.8897646740078926,0,1201.257894743001,1,154.1019465320278,1,654.4077482628636
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p9107_safety_0.smt2,0,0.7319292050087824,1,0.4105038410052657,1,2.324147891951725,1,0.8277485119178891
QF_NIA/AProVE/aproveSMT8166223887396796858.smt2,0,0.5654116939986125,1,0.7515438548289239,0,1201.7134183191229,1,309.3470979949925
QF_NIA/20170427-VeryMax/SAT14/1200.smt2,0,1.3939383290708065,1,43.09565759100951,1,1.8769726289901882,1,6.876991725061089
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateClear.jar-obl-11__p30763_safety_0.smt2,0,0.8174075700808316,0,1201.2324909018353,1,27.82847957802005,0,1201.7189187388867
QF_NIA/20170427-VeryMax/ITS/From_T2__edn.t2__p20644_safety_0.smt2,0,0.5881810639984906,1,0.36322655621916056,1,14.771537158172578,1,6.0553892909083515
QF_NIA/20170427-VeryMax/ITS/From_T2__s1-striped.t2_fixed__p10777_safety_0.smt2,0,0.9492457100423053,1,1.6182310529984534,1,20.691868566907942,1,607.3367962290067
