path,OpenSMT,,SMTInterpol,,Yices2,,Z3alpha,,cvc5,
,solved,runtime,solved,runtime,solved,runtime,solved,runtime,solved,runtime
QF_IDL/parity/18.800.graph.smt2,1,65.9114013009821,1,864.3626504029962,1,1.2822287550079636,1,26.758235071989475,1,156.5227952839923
QF_IDL/diamonds/diamonds.12.2.i.a.u.smt2,1,0.8616177640069509,1,7.991702052007895,1,0.8360730809799861,1,1.591239258996211,1,1.3547697070025606
QF_IDL/queens_bench/n_queen/queen27-1.smt2,1,2.172846153000137,1,8.601538853021339,1,0.23532752398750745,1,0.3180916949931998,1,1.9396481189905899
QF_IDL/qlock/qlock-4-10-24.base.cvc.smt2,0,1201.2223663240002,0,1202.2637416219804,1,771.0094244600041,1,83.14626830801717,1,189.211386889001
QF_IDL/20210312-Bouvier/vlsat3_i74.smt2,0,1201.2405666559935,1,327.491031898011,0,1201.2259571160248,0,1201.7164337850118,0,1201.733009418007
QF_IDL/20220214-jobshop-BohanLi/jobshop42-4-21-21-4-4-32.smt2,1,612.8267344409833,0,1201.7722505729762,0,1201.2177122409921,0,1201.7123814779916,0,1201.7108196729969
QF_IDL/queens_bench/n_queen/queen25-1.smt2,1,2.53761725500226,1,6.612514573032968,1,0.25066001000232063,1,0.32569805599632673,1,1.699963734994526
QF_IDL/asp/WireRouting/wire.15.x.15.b.2.a.25_sat.data.smt2,0,1201.2337058050034,0,1201.7412358029978,0,1201.226544981997,0,1201.736669735983,0,1201.7403202010028
QF_IDL/asp/WireRouting/wire.17.x.17.b.10.a.25_unsat.data.smt2,0,1201.262189517991,0,1201.7389398239902,0,1201.222988116002,0,1201.7143417539774,1,176.76889605200267
QF_IDL/asp/TravellingSalesperson/tsp_rand_70_300_1155482584_11.lp.smt2,0,1201.2446584049903,0,1201.742187085969,1,20.362325338006485,1,29.54490227700444,0,1201.7299469760037
QF_IDL/planning/plan-21.cvc.smt2,1,0.408171480987221,1,4.754838182008825,1,0.2854221960005816,1,0.35985161899589,1,0.40703123599814717
QF_IDL/fuzzy-matrix/Zantema_z053.srs_slice-8_constraint-227740.smt2,1,90.19290224899305,0,1201.7540169979911,1,642.7427162489912,0,1201.7140511620091,0,1201.741855558008
QF_IDL/RTCL/b13_tf_20/ckt_PROP8_tf_20.smt2,1,0.3075473739882,1,1.5976103559951298,1,0.21553696901537478,1,0.3285261580022052,1,0.25134821799292695
QF_IDL/asp/SchurNumbers/15.16.schur.lp.smt2,1,581.8022663049924,1,89.05500480497722,1,508.94482509000227,1,147.70652025399613,1,619.5132899489981
QF_IDL/Averest/sorting_network/SortingNetwork8_live_bgmc002.smt2,1,0.22025851299986243,1,0.837188714009244,1,0.2120932760008145,1,0.27437013600138016,1,0.2644615449971752
QF_IDL/schedulingIDL/tai_10x10_1_mkspan639.smt2,1,2.255080069997348,1,110.96198359999107,1,0.2483070689777378,1,0.6116068670235109,1,13.541364484990481
QF_IDL/20210312-Bouvier/vlsat3_c06.smt2,0,1201.2143784819928,0,1202.2458938769996,1,208.18372805899708,1,31.92064687301172,1,26.00347318399872
QF_IDL/queens_bench/n_queen/queen44-1.smt2,1,19.06888657300442,1,28.15785037598107,1,0.30026005298714153,1,0.46737254099571146,1,14.198371325008338
QF_IDL/schedulingIDL/tai_20x20_1_mkspan1525.smt2,1,32.98063429998001,0,1201.7457747099688,1,1.2219772489916068,1,2.7420930150256027,1,149.26712314299948
QF_IDL/schedulingIDL/j6_per0_0_mkspan1056.smt2,1,15.081633769004839,1,120.99859331996413,1,0.5394230590027291,1,1.9422989269951358,1,4.324220349997631
QF_IDL/parity/29.600.graph.smt2,1,87.09778524399735,1,540.3351380029926,1,1.318680502998177,1,12.822028434980894,1,10.979101147997426
QF_IDL/schedulingIDL/tai_20x20_7_mkspan1600.smt2,1,53.275250404985854,0,1201.7454336020164,1,1.3088830540073104,1,3.602021856000647,1,235.62093703699065
QF_IDL/20210312-Bouvier/vlsat3_i30.smt2,0,1201.2260456720105,1,84.92389191297116,0,1201.2184088549984,1,159.17111499997554,0,1201.7206015999982
QF_IDL/job_shop/jobshop54-2-27-27-4-4-11.smt2,0,1201.2411742380064,0,1201.7210613899515,0,1201.245134503988,0,1201.7168469919998,0,1201.7097241739975
QF_IDL/asp/HierarchicalClustering/xy.12.x.12.r.3.274440616.806497.data_k=4_l=3_unsat.gph.smt2,1,1.7483025660039857,1,18.70602882700041,1,0.29788236299646087,1,0.7674310509755742,1,2.874705890993937
QF_IDL/schedulingIDL/tai_20x20_8_mkspan1191.smt2,1,69.82223816102487,0,1201.748706162034,1,3.259967296005925,1,7.684092653013067,0,1201.7152415910095
QF_IDL/asp/KnightTour/knightTour.in08.smt2,0,1202.3612331420009,0,1202.271251483995,0,1201.2621082400146,0,1201.723918306001,0,1201.7228986060072
QF_IDL/schedulingIDL/tai_15x15_5_mkspan1003.smt2,1,5.987501170995529,0,1201.7293886380503,1,0.5059382249892224,1,0.7662074810068589,1,170.3426369150111
QF_IDL/asp/TravellingSalesperson/tsp_rand_70_300_1155482584_9.lp.smt2,1,657.6256410629867,0,1201.7448949859827,1,32.19860432099085,1,35.62621479597874,1,178.49706598899502
QF_IDL/asp/Hanoi/mgs_towers-hanoi.77_7.smt2,0,1201.2322589760006,1,713.2988867179956,1,21.544898400985403,1,39.565122693020385,1,88.80534463199729
QF_IDL/queens_bench/toroidal_bench/toroidal_queen90-1.smt2,0,1201.2130371829844,0,1201.720281479007,0,1201.220535024011,0,1201.7355887829908,0,1201.746546978
