logic,synt,synt_std,synt_mpnet,synt_mpnet_std,gin_pwc,gin_pwc_std,mach_ehm,mach_ehm_std,fusion_pwc,fusion_pwc_std,sibyl,sibyl_std
ABV,0.7145,0.0158,,,0.7656,0.0586,0.0783,0.1952,,,0.1797,0.156
ALIA,0.553,0.0576,,,0.5507,0.048,0.2773,0.1922,,,0.3334,0.0902
BV,0.3822,0.1561,0.492,0.1456,0.4243,0.2822,0.1711,0.0689,0.5392,0.1927,0.12,0.0776
QF_BV,0.3344,0.1496,0.568,0.0687,0.4606,0.0315,0.0735,0.2368,0.5423,0.117,-0.2945,0.1196
QF_IDL,0.6453,0.2764,0.7169,0.1674,0.6966,0.1603,0.0606,0.3254,0.8182,0.068,-0.3047,0.6892
QF_LIA,0.8901,0.0163,0.9119,0.0245,0.9256,0.0191,0.847,0.0386,0.9165,0.0232,0.7666,0.0522
QF_NRA,0.4461,0.1292,0.5072,0.0376,0.5061,0.1023,0.1725,0.1055,0.5517,0.0354,-0.035,0.1586
QF_SLIA,0.907,0.0196,0.935,0.0118,0.9282,0.023,0.7696,0.1891,0.9437,0.0204,,
UFNIA,0.1479,0.2153,0.2395,0.1627,0.2448,0.1321,-1.2922,0.9922,0.3184,0.1378,,
