logic,graph,lite
ABV,11.2,1.3
ALIA,9.7,0.9
BV,77.4,12.7
QF_BV,6428.8,708.9
QF_IDL,3979.1,86.9
QF_LIA,9533.2,172.7
QF_NRA,2328.8,50.8
QF_SLIA,908.4,70.1
UFNIA,756.8,19.4
