path,Bitwuzla,,SMTInterpol,,YicesQS,,Z3alpha,,cvc5,
,solved,runtime,solved,runtime,solved,runtime,solved,runtime,solved,runtime
BV/2017-Preiner-psyco/052.smt2,1,0.6046277040150017,0,1201.7244804069924,1,0.46979206800460815,1,0.41716508800163865,1,1.147016131086275
BV/2020-Preiner-fmcad20/inv/check_ic_concat_s_x_64.smt2,1,0.25865146005526185,0,93.75162133201957,1,0.23714729701168835,1,0.3090147019829601,1,0.22726712515577674
BV/20230321-UltimateAutomizerSvcomp2023/soft_float_4-2.c.cil.c_9.smt2,1,0.2170661010313779,0,0.7675484960200265,0,1201.7207561910618,0,6.345582687994465,1,80.34881595615298
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node733082.smt2,1,0.2843075320124626,1,0.6418459069973323,1,0.23563773813657463,1,0.26890650507993996,1,0.2218917259015143
BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_66.smt2,0,1201.3742070619483,0,1201.7138960759912,0,1201.7217910250183,0,1202.2204253978562,0,1201.7214860469103
BV/wintersteiger/fmsd13/fixpoint/itc-b13-fixpoint-8.smt2,1,0.35233908891677856,0,1201.7215852490044,1,4.436056494014338,1,0.4164663611445576,1,0.45709715597331524
BV/2018-Preiner-cav18/check_eq_bvshl0_64bit.smt2,1,0.5172926869709045,0,0.5794827140052803,1,1.46053199400194,1,0.7463462769519538,1,0.9085964960977435
BV/2018-Preiner-cav18/check_bvsge_bvudiv1_64bit.smt2,1,1.6495402350556105,0,0.5505712710146327,1,4.635090059833601,1,44.64158553304151,1,44.22195722302422
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node560442.smt2,1,0.2863105391152203,1,0.5986604159988929,1,0.24902924406342208,1,0.26739944401197135,1,0.22317697410471737
BV/20190429-UltimateAutomizerSvcomp2019/jain_7_true-unreach-call_true-no-overflow_false-termination.i_9.smt2,1,134.37372654303908,0,0.5616384879976977,1,0.2825491181574762,1,582.620596740162,1,0.2480521248653531
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node459232.smt2,1,0.2654508969280869,1,0.5726572099956684,1,0.2576574550475925,1,0.2686258149333298,1,0.23506016400642693
BV/20170501-Heizmann-UltimateAutomizer/MultCommutative_true-unreach-call_true-no-overflow_true-termination.c_3235.smt2,1,0.22743890807032585,0,0.4985964589868672,1,0.22423163009807467,0,30.51667944691144,1,0.23237142502330244
BV/20230321-UltimateAutomizerSvcomp2023/jain_2-2.c_10.smt2,0,1201.2311962819658,0,0.4920960780000314,1,0.29164943494834006,0,6.350202540168539,1,0.9678228800185025
BV/2018-Preiner-cav18/check_bvslt_bvurem0_64bit.smt2,1,0.2533329389989376,0,0.7229408530110959,1,4.4855338940396905,1,4.719650101149455,1,136.6740770030301
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node388424.smt2,1,0.27710882597602904,1,0.6061549269943498,1,0.26135346200317144,1,0.2767706480808556,1,0.2468431710731238
BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_41.smt2,0,1201.3111867750995,0,418.28998721699463,0,1201.7302176509984,0,521.3982244860381,0,1201.7197611269075
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node601561.smt2,1,0.2616557041183114,1,0.6051396770053543,1,0.22904677409678698,1,0.29641806799918413,1,0.22358319209888577
BV/2017-Preiner-scholl-smt08/model/model_6_47.smt2,1,0.30199309322051704,0,0.8262650149990804,1,0.2227288419380784,1,0.2731775199063122,1,3.1361484590452164
BV/2017-Preiner-keymaera/intersection-example-onelane.proof-node43393.smt2,1,0.27346980199217796,0,0.8699933899915777,1,0.2517538219690323,1,1.413656695978716,1,160.67171660112217
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node348711.smt2,1,0.2754612509161234,1,0.6722226190031506,1,0.23663960117846727,1,0.268237282987684,1,0.21999022318050265
BV/2020-Preiner-fmcad20/cons/check_cc_bvlshr_s_x_4.smt2,1,0.23799954284913838,0,2.948311307991389,1,0.23006847710348666,1,0.3158687560353428,1,0.36380353500135243
BV/20190429-UltimateAutomizerSvcomp2019/soft_float_4_true-unreach-call_true-no-overflow_true-termination.c.cil.c_0.smt2,1,0.24358139093965292,0,0.9410845550009981,1,0.27595389704219997,1,0.28059264295734465,1,80.29130152217112
BV/2017-Preiner-keymaera/safety-lemma-node14050.smt2,1,1.9928114439826459,0,0.8790384919848293,1,0.28937201714143157,1,2.2520858778152615,1,164.52251096791588
BV/2017-Preiner-keymaera/intersection-example-onelane.proof-node54847.smt2,1,0.31096220994368196,0,0.80146243199124,1,0.24444714817218482,1,0.3777383458800614,1,0.4554228959605098
BV/2017-Preiner-scholl-smt08/RND/RND_3_23.smt2,1,1.0837011490948498,0,1201.7186173890077,1,0.40725182509049773,1,2.020236383890733,1,189.8981300019659
BV/2017-Preiner-scholl-smt08/RND/RND_6_15.smt2,0,1201.4563168359455,0,1201.7474064540002,0,1201.721892128,0,6.341863411013037,0,1201.7250007821713
BV/2017-Preiner-psyco/185.smt2,1,0.2948028708342463,0,7.981221199006541,1,0.3159637078642845,1,0.35156296915374696,1,4.24636460095644
BV/2017-Preiner-psyco/123.smt2,1,0.23704875190742314,0,631.5301108910062,1,0.26726771495305,1,0.2983229460660368,1,0.2842240498866886
BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_21.smt2,1,91.10972844599746,0,1201.7126900879957,1,0.5620559558738023,0,1201.7211659420282,1,160.53618300403468
