path,SMTInterpol,,cvc5,,iProver,
,solved,runtime,solved,runtime,solved,runtime
UFLIA/simplify2/front_end_suite/javafe.ast.NewInstanceExpr.001.smt2,0,1202.7453004579875,1,4.758756378199905,0,1201.7297232961282
UFLIA/simplify/javafe.ast.SingleTypeImportDecl.314.smt2,0,1202.7185022630147,1,0.7110845481511205,1,62.492349497042596
UFLIA/sledgehammer/TypeSafe/smtlib.618862.smt2,0,1202.7537602870143,0,1201.7108078859746,0,1201.7359274050687
UFLIA/sledgehammer/QEpres/smtlib.1195133.smt2,1,59.14410669100471,1,0.30002390407025814,1,17.519091561902314
UFLIA/simplify2/front_end_suite/javafe.ast.CastExpr.007.smt2,0,1202.7421607879805,1,11.30830840789713,0,1201.7259306181222
UFLIA/tokeneer/enclave/enrolop-9.smt2,0,1.2669873160193674,0,1201.7166876310948,0,1201.7323017839808
UFLIA/simplify2/front_end_suite/javafe.ast.TypeNameVec.021.smt2,0,1202.244197544991,1,0.3064160868525505,1,259.2154426188208
UFLIA/sledgehammer/FFT/smtlib.947953.smt2,0,1202.7220537329558,0,1201.7127171368338,0,1201.7352838199586
UFLIA/tokeneer/keystore/delete-3.smt2,0,1201.7263457230292,0,1201.7177961268462,0,1201.7534367588814
UFLIA/sledgehammer/TwoSquares/smtlib.691643.smt2,0,1202.2254455150105,1,0.7822275639045984,1,803.3176872080658
UFLIA/grasshopper/uninstantiated/insertion_sort_loop_check_heap_access_57_4.smt2,1,945.7121952070156,1,0.4890236109495163,1,101.08290904783644
UFLIA/sledgehammer/QEpres/smtlib.771462.smt2,0,1202.7439939720207,0,1201.7153742420487,0,1201.7283210752066
UFLIA/boogie/ExactTypes_Y0..ctor.smt2,0,1201.7557642869651,1,0.4456979720853269,0,1201.7489321408793
UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.636861.smt2,0,1202.7768292960245,1,0.3386512959841639,1,68.54624296305701
UFLIA/tokeneer/keystore/digest-3.smt2,0,1201.7190591580002,0,1201.7162136291154,0,1201.7677701080684
UFLIA/simplify/javafe.genericfile.ZipGenericFile.534.smt2,0,1202.7192466499982,1,0.2766981569584459,0,1201.7423553790431
UFLIA/boogie/Pack_Bad2.Cell.GetX.smt2,0,1201.7529755869764,0,1201.712485820055,0,1201.7240593838505
UFLIA/simplify2/front_end_suite/javafe.ast.TryCatchStmt.002.smt2,1,5.229448375001084,1,0.4656358389183879,1,5.894663552986458
UFLIA/simplify2/front_end_suite/javafe.ast.NewArrayExpr.009.smt2,0,1202.7202607939835,1,17.354728953912854,0,1201.7250703729223
UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.805568.smt2,0,1202.2438752309536,0,1201.7135362650733,0,1201.7218126109801
UFLIA/boogie/Cast_Cast.N1_System.String.smt2,0,1201.7190381049877,0,1201.718129986897,0,1201.7206673880573
UFLIA/boogie/Strengthen_U..ctor.smt2,0,1201.7743206819869,1,0.36559588206000626,0,1201.7318852839526
UFLIA/simplify2/front_end_suite/javafe.tc.FlowInsensitiveChecks.023.smt2,0,1201.751885043981,1,10.772472926881164,1,9.955255534034222
UFLIA/simplify2/front_end_suite/javafe.ast.ExprVec.001.smt2,0,1201.7424358780263,1,1.0698658239562064,0,1201.7210704321042
UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.1005323.smt2,0,1202.7191887220251,0,1201.7134419521317,0,1201.7536466009915
UFLIA/sledgehammer/QEpres/smtlib.848703.smt2,0,1202.7196382010006,0,1201.7354346960783,0,1201.7231713600922
UFLIA/boogie/PeerModifiesClauses_Homeboy.F-level_2.smt2,0,1201.741194563976,1,0.443221036111936,0,1201.734339155024
UFLIA/sledgehammer/StrongNorm/smtlib.812524.smt2,0,1202.7186696630088,0,1201.7161765547935,0,1201.721935973037
UFLIA/sledgehammer/FFT/smtlib.930722.smt2,0,1202.7463485070039,0,1201.7141004360747,0,1201.743164149113
UFLIA/sledgehammer/NS_Shared/smtlib.741747.smt2,0,1202.7203307060408,0,1201.7161635810044,0,1201.7222830029204
UFLIA/simplify2/front_end_suite/javafe.ast.CatchClauseVec.007.smt2,0,1201.722930627002,1,0.5809202340897173,0,1201.724589423975
UFLIA/boogie/Finally_ReturnFinally..ctor-modifiesOnLoop.smt2,0,1201.7208008659654,1,0.36412091506645083,0,1201.726387106115
UFLIA/sledgehammer/StrongNorm/smtlib.667813.smt2,1,31.849281380011234,1,0.35833251499570906,1,118.06646257289685
UFLIA/simplify2/front_end_suite/javafe.parser.Lex.006.smt2,0,1201.725350128021,1,0.8093320049811155,0,1201.7220988390036
UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.1369838.smt2,0,688.6804222020437,0,1201.7424405899365,0,1201.7328412260395
UFLIA/simplify2/front_end_suite/javafe.filespace.ClassPath.005.smt2,0,1202.2440456449986,1,0.2985025441739708,1,836.1648674439639
UFLIA/simplify2/front_end_suite/javafe.ast.LexicalPragmaVec.018.smt2,0,1201.7470916199964,1,0.42328507686033845,0,1201.7259460908826
UFLIA/grasshopper/uninstantiated/sls_insert_postcondition_of_sls_insert_42_4.smt2,0,1201.7193534019752,1,30.5787298460491,1,0.8566949011292309
UFLIA/simplify/javafe.tc.Env.649.smt2,0,1202.2435699580237,1,1.1211376329883933,0,1201.7240556441247
UFLIA/sledgehammer/StrongNorm/smtlib.758137.smt2,0,1201.719518080994,0,1201.7168813929893,0,1201.7362501339521
UFLIA/sledgehammer/Hoare/smtlib.617769.smt2,0,1202.746017633006,1,0.37993977405130863,1,64.02241055783816
