path,SMTInterpol,,Yices2,,cvc5,,iProver,
,solved,runtime,solved,runtime,solved,runtime,solved,runtime
UF/sledgehammer/QEpres/uf.1101998.smt2,0,1202.7458211159683,0,1201.526912997997,1,0.3649787700269371,1,64.44377165599872
UF/sledgehammer/Hoare/uf.965723.smt2,0,1202.7246434820117,0,1201.436930628006,1,0.4873726398218423,1,512.2023311810008
UF/20170428-Barrett/cdt-cade2015/nada/distro/gram_lang/x2015_09_10_16_48_56_285_1162189.smt_in.smt2,0,1202.7210477550007,0,1201.2935390659986,0,1201.7137768061366,0,1201.7397281330013
UF/sledgehammer/QEpres/uf.1152359.smt2,0,317.8906448329799,0,1201.2666532879957,0,1201.7131276631262,0,1201.72500142
UF/sledgehammer/FFT/uf.765709.smt2,0,1202.7689761929796,0,1201.2842359269998,0,1201.7149507829454,0,1201.7513540979999
UF/20170428-Barrett/cdt-cade2015/nada/distro/gram_lang/x2015_09_10_16_51_13_804_1292964.smt_in.smt2,1,56.43540945701534,0,1201.3661364159998,1,0.3547900759149343,0,1201.743808209998
UF/grasshopper/uninstantiated/insert_loop_invariant_24_5.smt2,1,984.963623143034,1,0.45448752099764533,1,0.32019726489670575,1,130.01885494899943
UF/sledgehammer/Fundamental_Theorem_Algebra/uf.636557.smt2,0,1156.185982630006,0,1201.3261642449943,0,1201.7108769710176,0,1201.760584218
UF/sledgehammer/StrongNorm/uf.757943.smt2,0,1202.242342149024,0,1201.3353914500003,0,1201.7135103619657,0,1201.7240132650004
UF/sledgehammer/QEpres/uf.733606.smt2,0,1202.7469298759825,0,1201.286374389998,0,1201.7335315430537,0,1201.7223945389997
UF/20170428-Barrett/cdt-cade2015/nada/afp/huffman/x2015_09_10_16_48_49_250_1140858.smt_in.smt2,0,596.0520907060127,0,1201.3228642639951,0,1201.7195236298721,0,1201.730537747997
UF/20170428-Barrett/cdt-cade2015/nada/gandl/stern_brocot_tree/x2015_09_10_16_51_07_904_1043217.smt_in.smt2,0,1202.7213442020002,0,1201.2764371350022,1,0.3157491509336978,1,97.45641570400039
UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_01_30_885_1753035.smt_in.smt2,0,661.8161315440084,0,1201.3226857459995,0,1201.715154214995,0,1201.7214430900003
UF/sledgehammer/NS_Shared/smtlib.772711.smt2,0,1202.747392974,0,1201.3321827239997,0,1201.7165661351755,0,1201.7347559659993
UF/sledgehammer/Fundamental_Theorem_Algebra/uf.1176478.smt2,0,1202.724064854032,1,35.15968215199973,1,0.2554535400122404,1,1.346709056000691
UF/sledgehammer/TypeSafe/uf.753917.smt2,0,1202.7198031599983,0,1201.4243645629977,0,1201.7132275130134,0,1201.7311817189984
UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_07_04_399_2207674.smt_in.smt2,0,1201.734171797987,0,1201.477510124998,0,1201.7153184351046,0,1201.725554681001
UF/sledgehammer/Fundamental_Theorem_Algebra/uf.1040307.smt2,0,1202.7453354950412,0,1201.2969118440014,0,1201.7135927330237,0,1201.7525380539992
UF/sledgehammer/FFT/uf.876833.smt2,0,1202.7204946290003,0,1201.4010339880042,0,1201.7367799230851,0,1201.7396515670007
UF/sledgehammer/Fundamental_Theorem_Algebra/uf.959073.smt2,0,1202.7222279789858,0,1201.306233055002,0,1201.7135129629169,0,1201.7377037900005
UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_16_57_47_544_1522663.smt_in.smt2,0,287.572979649005,0,1201.4428487080004,1,0.6411887148860842,0,1201.7507809340004
UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_13_26_571_2678554.smt_in.smt2,0,1202.718032711011,0,1201.3871383769947,0,1201.7160551778506,0,1201.7893218190002
UF/sledgehammer/QEpres/uf.787169.smt2,0,690.2928269369877,0,1201.3655139480034,1,0.34293452906422317,1,2.3741938390012365
UF/20170428-Barrett/cdt-cade2015/nada/distro/rbt_impl/x2015_09_10_16_58_51_174_1854278.smt_in.smt2,0,1202.216071548988,0,1201.4556178100029,0,1201.7117404120509,0,1201.7376762029999
UF/sledgehammer/QEpres/uf.969752.smt2,0,1202.7453794539906,0,1201.3617241570028,0,1201.731519244844,0,1201.721550457998
UF/sledgehammer/Fundamental_Theorem_Algebra/uf.1325129.smt2,0,1201.7202354960027,0,1201.2891613399988,1,519.6370789417997,1,0.9029334400001972
UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_08_58_628_2361775.smt_in.smt2,0,1202.7183885609847,0,1201.351356197003,1,0.9363221197854728,0,1201.7214962910002
UF/sledgehammer/Fundamental_Theorem_Algebra/uf.727624.smt2,0,1202.7211219529854,0,1201.2299050619986,1,540.3995255678892,1,1.3743538809994789
UF/sledgehammer/Fundamental_Theorem_Algebra/uf.1226930.smt2,1,1.3387122189742513,1,2.627002466993872,1,0.274346579099074,1,1.881895678001456
UF/sledgehammer/Hoare/uf.1189699.smt2,0,1202.7190244779922,0,1201.2984574950024,0,1201.7134633320384,0,1201.7238238959999
UF/sledgehammer/QEpres/uf.673135.smt2,0,1201.7123559470056,0,1201.643293715002,0,1201.713063623989,0,1201.7253694489991
UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_03_00_126_1871722.smt_in.smt2,0,1202.7209183860105,0,1201.5467868720007,0,1201.7641229000874,0,1201.7188617699976
