logic,feature_source,training_time_seconds,model_file,perf_csv,feature_csv
qf_lia,embeddings,10.4065,qf_lia_embeddings_model.joblib,qf_lia_train.csv,qf_lia_description_embeddings.csv
qf_lia,embeddings_combined,9.4498,qf_lia_embeddings_combined_model.joblib,qf_lia_train.csv,qf_lia_description_with_features_embeddings.csv
qf_lia,features,2.1759,qf_lia_features_model.joblib,qf_lia_train.csv,qf_lia_features_filtered.csv
qf_lia,features_embeddings,11.4647,qf_lia_features_embeddings_model.joblib,qf_lia_train.csv,qf_lia_feat+emb.csv
qf_lra,embeddings,0.8312,qf_lra_embeddings_model.joblib,qf_lra_train.csv,qf_lra_description_embeddings.csv
qf_lra,embeddings_combined,0.8360,qf_lra_embeddings_combined_model.joblib,qf_lra_train.csv,qf_lra_description_with_features_embeddings.csv
qf_lra,features,0.6197,qf_lra_features_model.joblib,qf_lra_train.csv,qf_lra_features_filtered.csv
qf_lra,features_embeddings,0.8369,qf_lra_features_embeddings_model.joblib,qf_lra_train.csv,qf_lra_feat+emb.csv
qf_nra,embeddings,2.2819,qf_nra_embeddings_model.joblib,qf_nra_train.csv,qf_nra_description_embeddings.csv
qf_nra,embeddings_combined,2.3189,qf_nra_embeddings_combined_model.joblib,qf_nra_train.csv,qf_nra_description_with_features_embeddings.csv
qf_nra,features,0.8791,qf_nra_features_model.joblib,qf_nra_train.csv,qf_nra_features_filtered.csv
qf_nra,features_embeddings,2.3636,qf_nra_features_embeddings_model.joblib,qf_nra_train.csv,qf_nra_feat+emb.csv
qf_slia,embeddings,121.8613,qf_slia_embeddings_model.joblib,qf_slia_train.csv,qf_slia_description_embeddings.csv
qf_slia,embeddings_combined,149.0050,qf_slia_embeddings_combined_model.joblib,qf_slia_train.csv,qf_slia_description_with_features_embeddings.csv
qf_slia,features,28.3315,qf_slia_features_model.joblib,qf_slia_train.csv,qf_slia_features_filtered.csv
qf_slia,features_embeddings,184.0405,qf_slia_features_embeddings_model.joblib,qf_slia_train.csv,qf_slia_feat+emb.csv
uf,embeddings,1.4672,uf_embeddings_model.joblib,uf_train.csv,uf_description_embeddings.csv
